2024-04-02 21:26:23,345 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:23,346 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:23,352 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:23,510 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:23,510 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:23,518 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:23,520 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:23,520 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:23,528 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:23,540 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:23,540 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:23,547 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:23,556 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:23,556 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:23,564 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:23,575 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:23,575 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:23,582 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:23,608 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:23,608 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:23,616 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:23,617 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:23,617 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:23,627 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:24,430 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:24,430 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:24,436 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:24,437 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:24,437 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:24,445 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:24,455 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:24,455 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:24,463 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:24,478 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
